team1,team2,venue,toss_winner,toss_decision,winner,date
Nigeria,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Nigeria,2023-10-05
Saudi Arabia,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,Kuwait,2023-10-05
Qatar,Maldives,"West End Park International Cricket Stadium, Doha",Maldives,field,Qatar,2023-10-05
Bangladesh,India,Zhejiang University of Technology Cricket Field,India,field,India,2023-10-06
Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,Nigeria,2023-10-06
Rwanda,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,Rwanda,2023-10-06
Rwanda,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Nigeria,2023-10-07
Canada,Bermuda,"National Stadium, Hamilton",Canada,bat,Canada,2023-10-07
Pakistan,Bangladesh,Zhejiang University of Technology Cricket Field,Bangladesh,field,Bangladesh,2023-10-07
Sierra Leone,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Nigeria,2023-10-08
Rwanda,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,Rwanda,2023-10-08
Sierra Leone,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Sierra Leone,2023-10-10
Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,2023-10-10
Sierra Leone,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,bat,Rwanda,2023-10-11
Ghana,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Nigeria,2023-10-11
Nigeria,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Nigeria,2023-10-12
Ghana,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,Rwanda,2023-10-12
Rwanda,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,Nigeria,2023-10-14
South Africa,New Zealand,"Willowmoore Park, Benoni",New Zealand,field,New Zealand,2023-10-14
Argentina,Chile,San Albano,Chile,field,Argentina,2023-10-14
Ghana,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,Ghana,2023-10-14
Argentina,Chile,San Albano,Argentina,bat,Argentina,2023-10-15
Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,Nigeria,2023-10-15
Gibraltar,Luxembourg,Europa Sports Complex,Luxembourg,field,Gibraltar,2023-10-15
Luxembourg,Gibraltar,Europa Sports Complex,Luxembourg,bat,Luxembourg,2023-10-15
South Africa,New Zealand,"Willowmoore Park, Benoni",New Zealand,field,South Africa,2023-10-15
Ghana,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,bat,Sierra Leone,2023-10-15
Chile,Mexico,St Georges Quilmes,Chile,bat,Mexico,2023-10-18
United Arab Emirates,Nepal,Mulpani Cricket Ground,Nepal,field,Nepal,2023-10-18
Hong Kong,Nepal,Mulpani Cricket Ground,Nepal,field,Nepal,2023-10-19
Mexico,Argentina,St Georges Quilmes,Argentina,field,Argentina,2023-10-19
Chile,Argentina,St Georges Quilmes,Chile,bat,Argentina,2023-10-20
Nepal,Hong Kong,Mulpani Cricket Ground,Nepal,bat,Nepal,2023-10-21
Hong Kong,United Arab Emirates,Mulpani Cricket Ground,United Arab Emirates,field,United Arab Emirates,2023-10-22
United Arab Emirates,Nepal,Mulpani Cricket Ground,Nepal,field,Nepal,2023-10-23
Scotland,Ireland,"Desert Springs Cricket Ground, Almeria",Scotland,bat,Ireland,2023-10-23
Ireland,Scotland,"Desert Springs Cricket Ground, Almeria",Ireland,bat,Scotland,2023-10-24
Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",Zimbabwe,bat,Namibia,2023-10-24
Namibia,Zimbabwe,"Wanderers Cricket Ground, Windhoek",Zimbabwe,field,Zimbabwe,2023-10-25
Pakistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,Bangladesh,2023-10-25
Hong Kong,United Arab Emirates,Mulpani Cricket Ground,Hong Kong,bat,Hong Kong,2023-10-25
Nepal,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,field,United Arab Emirates,2023-10-27
Bangladesh,Pakistan,"Zahur Ahmed Chowdhury Stadium, Chattogram",Pakistan,field,Bangladesh,2023-10-27
Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Namibia,bat,Zimbabwe,2023-10-27
Zimbabwe,Namibia,"United Cricket Club Ground, Windhoek",Zimbabwe,bat,Namibia,2023-10-29
Pakistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,field,Pakistan,2023-10-29
Singapore,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,bat,Nepal,2023-10-30
Oman,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Oman,bat,Oman,2023-10-30
Hong Kong,Kuwait,Mulpani Cricket Ground,Kuwait,field,Hong Kong,2023-10-30
Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Zimbabwe,field,Namibia,2023-10-30
Bahrain,United Arab Emirates,Mulpani Cricket Ground,United Arab Emirates,field,United Arab Emirates,2023-10-30
Kuwait,United Arab Emirates,Mulpani Cricket Ground,Kuwait,bat,United Arab Emirates,2023-10-31
Bahrain,Hong Kong,Mulpani Cricket Ground,Hong Kong,field,Bahrain,2023-10-31
Oman,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,field,Oman,2023-10-31
Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Nepal,2023-10-31
United Arab Emirates,Hong Kong,Mulpani Cricket Ground,Hong Kong,field,United Arab Emirates,2023-11-02
Oman,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Oman,2023-11-02
Bahrain,Kuwait,Mulpani Cricket Ground,Kuwait,field,Kuwait,2023-11-02
Malaysia,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,bat,Malaysia,2023-11-02
United Arab Emirates,Nepal,Mulpani Cricket Ground,United Arab Emirates,bat,Nepal,2023-11-03
Bahrain,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Bahrain,bat,Oman,2023-11-03
Tanzania,Nepal,Hong Kong Cricket Club,Tanzania,bat,Tanzania,2023-11-15
Japan,Hong Kong,Hong Kong Cricket Club,Hong Kong,field,Hong Kong,2023-11-15
Nepal,Hong Kong,Hong Kong Cricket Club,Nepal,bat,Hong Kong,2023-11-16
Tanzania,Japan,Hong Kong Cricket Club,Japan,field,Tanzania,2023-11-16
Tanzania,Hong Kong,Hong Kong Cricket Club,Tanzania,bat,Hong Kong,2023-11-18
Nepal,Japan,Hong Kong Cricket Club,Japan,field,Nepal,2023-11-18
Tanzania,Hong Kong,Hong Kong Cricket Club,Hong Kong,field,Hong Kong,2023-11-19
Nepal,Japan,Hong Kong Cricket Club,Nepal,bat,Nepal,2023-11-19
Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,Indonesia,2023-11-20
Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,Indonesia,2023-11-20
Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,2023-11-21
Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Indonesia,2023-11-21
Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,2023-11-22
Kenya,Rwanda,"United Cricket Club Ground, Windhoek",Rwanda,field,Kenya,2023-11-22
Tanzania,Uganda,"Wanderers Cricket Ground, Windhoek",Uganda,field,Uganda,2023-11-22
Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,Namibia,2023-11-22
Nigeria,Kenya,"United Cricket Club Ground, Windhoek",Kenya,field,Kenya,2023-11-23
Australia,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,field,India,2023-11-23
Tanzania,Zimbabwe,"United Cricket Club Ground, Windhoek",Zimbabwe,field,Zimbabwe,2023-11-23
Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,Indonesia,2023-11-23
Uganda,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,Namibia,2023-11-24
Namibia,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Namibia,2023-11-25
Kenya,Tanzania,"Wanderers Cricket Ground, Windhoek",Tanzania,field,Kenya,2023-11-25
India,Australia,"Greenfield International Stadium, Thiruvananthapuram",Australia,field,India,2023-11-26
Zimbabwe,Uganda,"United Cricket Club Ground, Windhoek",Uganda,field,Uganda,2023-11-26
Tanzania,Nigeria,"United Cricket Club Ground, Windhoek",Tanzania,bat,Nigeria,2023-11-26
Kenya,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,Namibia,2023-11-27
Zimbabwe,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Zimbabwe,2023-11-27
Nigeria,Uganda,"United Cricket Club Ground, Windhoek",Nigeria,bat,Uganda,2023-11-27
Namibia,Tanzania,"Wanderers Cricket Ground, Windhoek",Tanzania,field,Namibia,2023-11-28
India,Australia,"Barsapara Cricket Stadium, Guwahati",Australia,field,Australia,2023-11-28
Nigeria,Zimbabwe,"United Cricket Club Ground, Windhoek",Nigeria,bat,Zimbabwe,2023-11-29
Tanzania,Rwanda,"Wanderers Cricket Ground, Windhoek",Rwanda,field,Tanzania,2023-11-29
Uganda,Kenya,"Wanderers Cricket Ground, Windhoek",Uganda,bat,Uganda,2023-11-29
Rwanda,Uganda,"Wanderers Cricket Ground, Windhoek",Uganda,field,Uganda,2023-11-30
Zimbabwe,Kenya,"United Cricket Club Ground, Windhoek",Kenya,field,Zimbabwe,2023-11-30
Nigeria,Namibia,"Wanderers Cricket Ground, Windhoek",Nigeria,bat,Namibia,2023-11-30
India,Australia,"Shaheed Veer Narayan Singh International Stadium, Raipur",Australia,field,India,2023-12-01
Bangladesh,South Africa,"Willowmoore Park, Benoni",Bangladesh,bat,Bangladesh,2023-12-03
New Zealand,Pakistan,"University Oval, Dunedin",New Zealand,bat,Pakistan,2023-12-03
India,Australia,"M Chinnaswamy Stadium, Bengaluru",Australia,field,India,2023-12-03
Pakistan,New Zealand,"University Oval, Dunedin",New Zealand,field,Pakistan,2023-12-05
England,India,"Wankhede Stadium, Mumbai",India,field,England,2023-12-06
Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe,2023-12-07
Bangladesh,South Africa,"Diamond Oval, Kimberley",South Africa,field,South Africa,2023-12-08
Pakistan,New Zealand,"John Davies Oval, Queenstown",New Zealand,field,New Zealand,2023-12-09
India,England,"Wankhede Stadium, Mumbai",England,field,England,2023-12-09
Botswana,Tanzania,Entebbe Cricket Oval,Botswana,bat,Tanzania,2023-12-09
Zimbabwe,Kenya,Entebbe Cricket Oval,Kenya,field,Zimbabwe,2023-12-09
Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland,2023-12-09
Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland,2023-12-10
England,India,"Wankhede Stadium, Mumbai",England,bat,India,2023-12-10
Rwanda,Uganda,Entebbe Cricket Oval,Uganda,field,Uganda,2023-12-10
Namibia,Nigeria,Entebbe Cricket Oval,Nigeria,field,Namibia,2023-12-10
Zimbabwe,Botswana,Entebbe Cricket Oval,Zimbabwe,bat,Zimbabwe,2023-12-11
Kenya,Tanzania,Entebbe Cricket Oval,Tanzania,field,Tanzania,2023-12-11
England,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,West Indies,2023-12-12
India,South Africa,"St George's Park, Gqeberha",South Africa,field,South Africa,2023-12-12
Namibia,Uganda,Entebbe Cricket Oval,Uganda,field,Uganda,2023-12-12
Rwanda,Nigeria,Entebbe Cricket Oval,Rwanda,bat,Nigeria,2023-12-12
Tanzania,Zimbabwe,Entebbe Cricket Oval,Zimbabwe,field,Zimbabwe,2023-12-13
Botswana,Kenya,Entebbe Cricket Oval,Kenya,field,Kenya,2023-12-13
India,South Africa,"The Wanderers Stadium, Johannesburg",South Africa,field,India,2023-12-14
Nigeria,Uganda,Entebbe Cricket Oval,Uganda,field,Uganda,2023-12-14
Namibia,Rwanda,Entebbe Cricket Oval,Rwanda,field,Namibia,2023-12-14
West Indies,England,"National Cricket Stadium, St George's, Grenada",England,field,West Indies,2023-12-14
West Indies,England,"National Cricket Stadium, St George's, Grenada",England,field,England,2023-12-16
Uganda,Tanzania,Entebbe Cricket Oval,Tanzania,field,Uganda,2023-12-16
Zimbabwe,Namibia,Entebbe Cricket Oval,Namibia,field,Zimbabwe,2023-12-16
Uganda,Zimbabwe,Entebbe Cricket Oval,Zimbabwe,field,Zimbabwe,2023-12-17
England,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,England,2023-12-19
England,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,West Indies,2023-12-21
Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,Philippines,2023-12-22
Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,Indonesia,2023-12-23
Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,Indonesia,2023-12-23
Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,Philippines,2023-12-24
Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,Philippines,2023-12-26
New Zealand,Bangladesh,"McLean Park, Napier",Bangladesh,field,Bangladesh,2023-12-27
Bangladesh,New Zealand,"Bay Oval, Mount Maunganui",New Zealand,field,New Zealand,2023-12-31
Australia,India,"Dr DY Patil Sports Academy, Mumbai",India,field,India,2024-01-05
India,Australia,"Dr DY Patil Sports Academy, Mumbai",Australia,field,Australia,2024-01-07
India,Australia,"Dr DY Patil Sports Academy, Mumbai",Australia,field,Australia,2024-01-09
New Zealand,Pakistan,"Eden Park, Auckland",Pakistan,field,New Zealand,2024-01-12
Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,Sri Lanka,2024-01-14
New Zealand,Pakistan,"Seddon Park, Hamilton",Pakistan,field,New Zealand,2024-01-14
Sri Lanka,Zimbabwe,"R Premadasa Stadium, Colombo",Zimbabwe,field,Zimbabwe,2024-01-16
New Zealand,Pakistan,"University Oval, Dunedin",Pakistan,field,New Zealand,2024-01-17
Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,Sri Lanka,2024-01-18
Pakistan,New Zealand,"Hagley Oval, Christchurch",New Zealand,field,New Zealand,2024-01-19
Pakistan,New Zealand,"Hagley Oval, Christchurch",Pakistan,bat,Pakistan,2024-01-21
Ireland,Zimbabwe,Harare Sports Club,Ireland,bat,Ireland,2024-01-26
Myanmar,Cambodia,"Terdthai Cricket Ground, Bangkok",Cambodia,field,Cambodia,2024-01-27
South Africa,Australia,"Manuka Oval, Canberra",Australia,field,Australia,2024-01-27
Cambodia,China,"Terdthai Cricket Ground, Bangkok",Cambodia,bat,Cambodia,2024-01-28
Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Ireland,2024-01-28
Australia,South Africa,"Manuka Oval, Canberra",Australia,bat,South Africa,2024-01-28
South Africa,Australia,"Bellerive Oval, Hobart",Australia,field,Australia,2024-01-30
Ireland,Zimbabwe,Harare Sports Club,Ireland,bat,Ireland,2024-01-30
Indonesia,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Indonesia,2024-02-01
Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland,2024-02-01
Japan,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,Japan,2024-02-02
Singapore,Maldives,"Terdthai Cricket Ground, Bangkok",Singapore,bat,Singapore,2024-02-02
Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Ireland,2024-02-02
Bhutan,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Saudi Arabia,2024-02-03
Indonesia,Cambodia,"Terdthai Cricket Ground, Bangkok",Indonesia,bat,Cambodia,2024-02-03
Malaysia,Kuwait,Johor Cricket Academy Oval,Kuwait,field,Malaysia,2024-02-04
Japan,Maldives,"Terdthai Cricket Ground, Bangkok",Japan,bat,Japan,2024-02-04
Singapore,Thailand,"Terdthai Cricket Ground, Bangkok",Singapore,bat,Thailand,2024-02-04
Kuwait,Malaysia,Johor Cricket Academy Oval,Malaysia,field,Malaysia,2024-02-05
Saudi Arabia,Indonesia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,bat,Saudi Arabia,2024-02-05
Singapore,Japan,"Terdthai Cricket Ground, Bangkok",Japan,field,Singapore,2024-02-06
Maldives,Thailand,"Terdthai Cricket Ground, Bangkok",Maldives,bat,Thailand,2024-02-06
Maldives,Bhutan,"Terdthai Cricket Ground, Bangkok",Maldives,bat,Maldives,2024-02-07
Indonesia,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,Thailand,2024-02-07
Japan,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Saudi Arabia,2024-02-09
Australia,West Indies,"Bellerive Oval, Hobart",West Indies,field,Australia,2024-02-09
Singapore,Cambodia,"Terdthai Cricket Ground, Bangkok",Singapore,bat,Cambodia,2024-02-09
Bahrain,Qatar,"Royal Selangor Club, Kuala Lumpur",Bahrain,bat,Qatar,2024-02-10
Japan,Oman,"YSD-UKM Cricket Oval, Bangi",Japan,bat,Japan,2024-02-10
Hong Kong,Nepal,"Selangor Turf Club, Kuala Lumpur",Nepal,field,Nepal,2024-02-10
Indonesia,Malaysia,"Royal Selangor Club, Kuala Lumpur",Malaysia,field,Malaysia,2024-02-10
United Arab Emirates,China,"YSD-UKM Cricket Oval, Bangi",United Arab Emirates,bat,United Arab Emirates,2024-02-10
Myanmar,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Thailand,2024-02-10
Bhutan,Maldives,"Selangor Turf Club, Kuala Lumpur",Maldives,field,Bhutan,2024-02-10
Singapore,Kuwait,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Kuwait,2024-02-10
China,Japan,"Royal Selangor Club, Kuala Lumpur",China,bat,Japan,2024-02-11
Japan,Singapore,"Terdthai Cricket Ground, Bangkok",Singapore,field,Singapore,2024-02-11
Cambodia,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Saudi Arabia,2024-02-11
Australia,West Indies,Adelaide Oval,West Indies,field,Australia,2024-02-11
Indonesia,Bahrain,"Selangor Turf Club, Kuala Lumpur",Indonesia,bat,Indonesia,2024-02-11
Malaysia,Qatar,"Selangor Turf Club, Kuala Lumpur",Qatar,field,Malaysia,2024-02-11
United Arab Emirates,Oman,"Royal Selangor Club, Kuala Lumpur",Oman,field,United Arab Emirates,2024-02-11
Thailand,Kuwait,"YSD-UKM Cricket Oval, Bangi",Kuwait,field,Thailand,2024-02-11
Hong Kong,Maldives,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Hong Kong,2024-02-11
Bhutan,Nepal,"Bayuemas Oval, Kuala Lumpur",Nepal,field,Nepal,2024-02-11
Singapore,Myanmar,"YSD-UKM Cricket Oval, Bangi",Singapore,bat,Myanmar,2024-02-11
Bhutan,Thailand,"Terdthai Cricket Ground, Bangkok",Bhutan,bat,Thailand,2024-02-12
Saudi Arabia,Maldives,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,bat,Saudi Arabia,2024-02-12
Oman,China,"Selangor Turf Club, Kuala Lumpur",China,field,China,2024-02-13
Bhutan,Maldives,"Terdthai Cricket Ground, Bangkok",Bhutan,bat,Maldives,2024-02-13
Thailand,Singapore,"Royal Selangor Club, Kuala Lumpur",Thailand,bat,Thailand,2024-02-13
Qatar,Indonesia,"Bayuemas Oval, Kuala Lumpur",Indonesia,field,Indonesia,2024-02-13
Thailand,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Saudi Arabia,2024-02-13
Japan,United Arab Emirates,"Selangor Turf Club, Kuala Lumpur",Japan,bat,United Arab Emirates,2024-02-13
Nepal,Maldives,"YSD-UKM Cricket Oval, Bangi",Nepal,bat,Nepal,2024-02-13
West Indies,Australia,Perth Stadium,West Indies,bat,West Indies,2024-02-13
Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Malaysia,2024-02-13
Kuwait,Myanmar,"Royal Selangor Club, Kuala Lumpur",Myanmar,field,Kuwait,2024-02-13
Hong Kong,Bhutan,"YSD-UKM Cricket Oval, Bangi",Hong Kong,bat,Hong Kong,2024-02-13
Japan,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,Hong Kong,2024-02-14
Malaysia,Japan,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,2024-02-14
Kuwait,Nepal,"YSD-UKM Cricket Oval, Bangi",Kuwait,bat,Nepal,2024-02-14
United Arab Emirates,Indonesia,"YSD-UKM Cricket Oval, Bangi",United Arab Emirates,bat,United Arab Emirates,2024-02-14
Hong Kong,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Thailand,2024-02-14
Hong Kong,China,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Hong Kong,2024-02-14
Japan,China,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,Japan,2024-02-15
Saudi Arabia,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Saudi Arabia,2024-02-15
Hong Kong,Japan,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Hong Kong,2024-02-15
Maldives,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,Thailand,2024-02-15
Maldives,Bhutan,"Terdthai Cricket Ground, Bangkok",Maldives,bat,Bhutan,2024-02-16
United Arab Emirates,Thailand,"Bayuemas Oval, Kuala Lumpur",United Arab Emirates,bat,United Arab Emirates,2024-02-16
Thailand,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Saudi Arabia,field,Saudi Arabia,2024-02-16
China,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",China,bat,Hong Kong,2024-02-16
Nepal,Malaysia,"Bayuemas Oval, Kuala Lumpur",Nepal,bat,Malaysia,2024-02-16
Japan,China,"Mission Road Ground, Mong Kok, Hong Kong",Japan,bat,Japan,2024-02-16
Hong Kong,Japan,"Mission Road Ground, Mong Kok, Hong Kong",Japan,field,Hong Kong,2024-02-17
United Arab Emirates,Malaysia,"Bayuemas Oval, Kuala Lumpur",United Arab Emirates,bat,United Arab Emirates,2024-02-18
New Zealand,Australia,"Sky Stadium, Wellington",New Zealand,bat,Australia,2024-02-21
Australia,New Zealand,"Eden Park, Auckland",New Zealand,field,Australia,2024-02-23
Australia,New Zealand,"Eden Park, Auckland",New Zealand,field,Australia,2024-02-25
Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,bat,Namibia,2024-02-27
Hong Kong,Qatar,University of Doha for Science and Technology,Qatar,field,Hong Kong,2024-02-27
Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Netherlands,2024-02-28
Hong Kong,Qatar,University of Doha for Science and Technology,Hong Kong,bat,Qatar,2024-02-29
Netherlands,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,2024-02-29
Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,field,Nepal,2024-03-01
Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Nepal,2024-03-02
Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,Sri Lanka,2024-03-04
Kuwait,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Bahrain,2024-03-05
Vanuatu,Tanzania,"Bayuemas Oval, Kuala Lumpur",Tanzania,field,Vanuatu,2024-03-05
Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Netherlands,2024-03-05
Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2024-03-06
Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,Bangladesh,2024-03-06
Tanzania,Kuwait,"Bayuemas Oval, Kuala Lumpur",Tanzania,bat,Kuwait,2024-03-06
Malaysia,Vanuatu,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,2024-03-06
Vanuatu,Kuwait,"Bayuemas Oval, Kuala Lumpur",Kuwait,field,Kuwait,2024-03-07
Namibia,South Africa,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,Namibia,2024-03-07
Oman,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,field,Papua New Guinea,2024-03-07
Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Bahrain,2024-03-07
Nigeria,Namibia,"Achimota Senior Secondary School B Field, Accra",Nigeria,bat,Nigeria,2024-03-08
Uganda,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,field,Zimbabwe,2024-03-08
Tanzania,South Africa,"Achimota Senior Secondary School A Field, Accra",Tanzania,bat,South Africa,2024-03-08
Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2024-03-08
Bahrain,Tanzania,"Bayuemas Oval, Kuala Lumpur",Tanzania,field,Bahrain,2024-03-09
Kuwait,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Malaysia,2024-03-09
Hong Kong,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Hong Kong,2024-03-09
Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,Sri Lanka,2024-03-09
Tanzania,Malaysia,"Bayuemas Oval, Kuala Lumpur",Tanzania,bat,Malaysia,2024-03-10
Bahrain,Vanuatu,"Bayuemas Oval, Kuala Lumpur",Bahrain,bat,Bahrain,2024-03-10
Namibia,Tanzania,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,Tanzania,2024-03-10
Uganda,Rwanda,"Achimota Senior Secondary School B Field, Accra",Rwanda,field,Uganda,2024-03-10
Nigeria,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Nigeria,bat,Zimbabwe,2024-03-11
Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Bahrain,2024-03-11
South Africa,Uganda,"Achimota Senior Secondary School A Field, Accra",Uganda,field,South Africa,2024-03-11
Scotland,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,United Arab Emirates,2024-03-11
Vanuatu,Kuwait,"Bayuemas Oval, Kuala Lumpur",Kuwait,field,Kuwait,2024-03-11
Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,Papua New Guinea,2024-03-12
Nepal,Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Papua New Guinea,field,Nepal,2024-03-12
Scotland,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,Scotland,2024-03-13
Uganda,Nigeria,"Achimota Senior Secondary School A Field, Accra",Nigeria,field,Nigeria,2024-03-13
Papua New Guinea,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Papua New Guinea,2024-03-13
Scotland,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,Scotland,2024-03-14
Papua New Guinea,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Papua New Guinea,2024-03-16
